"","predict","cell"
"1","1","CRC04_PT2_537"
"2","0","CRC04_LN3_337"
"3","0","CRC04_LN2_476"
"4","0","CRC04_LN2_475"
"5","0","CRC04_LN2_481"
"6","1","CRC04_PT2_555"
"7","0","CRC04_LN2_496"
"8","0","CRC04_LN2_489"
"9","1","CRC04_PT5_701"
"10","0","CRC04_LN2_486"
"11","0","CRC04_LN1_349"
"12","0","CRC04_LN2_466"
"13","0","CRC04_LN1_354"
"14","0","CRC04_LN1_374"
"15","1","CRC04_PT2_548"
"16","1","CRC04_PT5_724"
"17","0","CRC04_LN2_492"
"18","1","CRC04_NC_429"
"19","0","CRC04_LN2_473"
"20","0","CRC04_LN1_376"
"21","0","CRC04_LN2_479"
"22","1","CRC04_PT5_725"
"23","1","CRC04_PT5_722"
"24","0","CRC04_LN1_364"
"25","1","CRC04_PT5_706"
"26","0","CRC04_LN1_369"
"27","1","CRC04_LN1_367"
"28","1","CRC04_LN3_330"
"29","1","CRC04_PT5_703"
"30","1","CRC04_PT2_544"
"31","0","CRC04_LN1_352"
"32","0","CRC04_LN1_378"
"33","0","CRC04_LN2_470"
"34","0","CRC04_LN1_375"
"35","1","CRC04_PT2_541"
"36","0","CRC04_LN2_495"
"37","0","CRC04_LN1_353"
"38","1","CRC04_PT5_712"
"39","0","CRC04_LN2_465"
"40","0","CRC04_LN1_360"
"41","0","CRC04_LN1_350"
"42","1","CRC04_PT5_728"
"43","1","CRC04_PT2_546"
"44","0","CRC04_LN1_351"
"45","0","CRC04_LN2_484"
"46","0","CRC04_LN1_366"
"47","0","CRC04_LN2_494"
"48","0","CRC04_LN2_468"
"49","0","CRC04_LN1_356"
"50","0","CRC04_LN1_373"
"51","0","CRC04_LN2_477"
"52","0","CRC04_LN1_372"
"53","1","CRC04_PT5_726"
"54","0","CRC04_LN2_472"
"55","0","CRC04_LN2_488"
"56","0","CRC04_LN1_371"
"57","0","CRC04_LN1_368"
"58","0","CRC04_LN2_485"
"59","0","CRC04_LN2_469"
"60","0","CRC04_LN1_381"
"61","1","CRC04_PT2_538"
"62","0","CRC04_LN2_480"
"63","0","CRC04_LN1_362"
"64","1","CRC04_PT2_533"
"65","1","CRC04_PT2_559"
"66","0","CRC04_LN1_377"
"67","0","CRC04_LN1_361"
"68","0","CRC04_LN2_464"
"69","1","CRC04_PT5_717"
"70","0","CRC04_NC_426"
"71","0","CRC04_LN2_490"
"72","1","CRC04_LN1_380"
"73","0","CRC04_LN1_365"
"74","0","CRC04_LN1_401"
"75","0","CRC04_LN1_403"
"76","0","CRC04_LN4_451"
"77","1","CRC04_PT5_729"
"78","1","CRC04_PT5_727"
"79","1","CRC04_PT5_714"
"80","0","CRC04_LN1_358"
"81","1","CRC04_PT2_562"
"82","0","CRC04_LN1_355"
"83","0","CRC04_LN2_493"
"84","0","CRC04_LN2_474"
"85","1","CRC04_PT5_730"
"86","1","CRC04_PT5_709"
"87","0","CRC04_LN1_363"
"88","1","CRC04_PT5_716"
"89","1","CRC04_PT2_549"
"90","0","CRC04_LN2_487"
"91","0","CRC04_LN1_357"
"92","1","CRC04_PT2_540"
"93","0","CRC04_LN1_402"
